	timestamp(CST)	stage(ft)
1474	2016-06-27 02:30:08-05	0.42
1475	2016-06-27 02:15:02-05	0.44
1476	2016-06-27 02:00:07-05	0.44
1477	2016-06-27 01:45:01-05	0.46
1478	2016-06-27 01:30:11-05	0.45
1479	2016-06-27 01:15:05-05	0.42
1480	2016-06-27 01:00:00-05	0.44
1481	2016-06-27 00:45:09-05	0.43
1482	2016-06-27 00:30:04-05	0.43
1483	2016-06-27 00:15:12-05	0.43
1484	2016-06-27 00:00:00-05	0.44
1485	2016-06-26 23:45:03-05	0.45
1486	2016-06-26 23:30:13-05	0.43
1487	2016-06-26 23:15:07-05	0.45
1488	2016-06-26 23:00:01-05	0.44
1489	2016-06-26 22:45:09-05	0.43
1490	2016-06-26 22:30:09-05	0.45
1491	2016-06-26 22:15:03-05	0.43
1492	2016-06-26 22:00:06-05	0.44
1493	2016-06-26 21:45:10-05	0.44
1494	2016-06-26 21:30:11-05	0.43
1495	2016-06-26 21:15:04-05	0.43
1496	2016-06-26 21:00:11-05	0.43
1497	2016-06-26 20:45:02-05	0.44
1498	2016-06-26 20:30:06-05	0.43
1499	2016-06-26 20:15:00-05	0.44
1500	2016-06-26 20:00:09-05	0.44
1501	2016-06-26 19:45:04-05	0.44
1502	2016-06-26 19:30:14-05	0.45
1503	2016-06-26 19:15:09-05	0.45
1504	2016-06-26 19:00:03-05	0.47
1505	2016-06-26 18:45:12-05	0.47
1506	2016-06-26 18:30:07-05	0.48
1507	2016-06-26 18:15:02-05	0.48
1508	2016-06-26 18:00:11-05	0.48
1509	2016-06-26 17:45:06-05	0.5
1510	2016-06-26 17:30:01-05	0.5
1511	2016-06-26 17:15:10-05	0.5
1512	2016-06-26 17:00:05-05	0.52
1513	2016-06-26 16:45:14-05	0.54
1514	2016-06-26 16:30:08-05	0.55
1515	2016-06-26 16:15:03-05	0.55
1516	2016-06-26 16:00:13-05	0.55
1517	2016-06-26 15:45:06-05	0.56
1518	2016-06-26 15:30:13-05	0.58
1519	2016-06-26 15:15:08-05	0.58
1520	2016-06-26 15:00:02-05	0.59
1521	2016-06-26 14:45:11-05	0.59
1522	2016-06-26 14:30:05-05	0.61
1523	2016-06-26 14:15:00-05	0.61
1524	2016-06-26 14:00:08-05	0.62
1525	2016-06-26 13:45:03-05	0.64
1526	2016-06-26 13:30:13-05	0.64
1527	2016-06-26 13:15:07-05	0.65
1528	2016-06-26 13:00:02-05	0.67
1529	2016-06-26 12:45:11-05	0.66
1530	2016-06-26 12:30:06-05	0.68
1531	2016-06-26 12:15:01-05	0.69
1532	2016-06-26 12:00:10-05	0.73
1533	2016-06-26 11:45:05-05	0.74
1534	2016-06-26 11:30:14-05	0.75
1535	2016-06-26 11:15:08-05	0.77
1536	2016-06-26 11:00:03-05	0.78
1537	2016-06-26 10:45:12-05	0.81
1538	2016-06-26 10:30:06-05	0.83
1539	2016-06-26 10:15:01-05	0.85
1540	2016-06-26 10:00:10-05	0.88
1541	2016-06-26 09:45:05-05	0.91
1542	2016-06-26 09:30:14-05	0.94
1543	2016-06-26 09:15:09-05	0.96
1544	2016-06-26 09:00:04-05	0.98
1545	2016-06-26 08:45:13-05	0.98
1546	2016-06-26 08:30:00-05	0.98
1547	2016-06-26 08:15:03-05	0.94
1548	2016-06-26 08:00:06-05	0.9
1549	2016-06-26 07:45:00-05	0.87
1550	2016-06-26 07:30:09-05	0.83
1551	2016-06-26 07:15:03-05	0.82
1552	2016-06-26 07:00:12-05	0.81
1553	2016-06-26 06:45:07-05	0.8
1554	2016-06-26 06:30:11-05	0.78
1555	2016-06-26 06:15:01-05	0.76
1556	2016-06-26 06:00:01-05	0.72
1557	2016-06-26 05:45:11-05	0.71
1558	2016-06-26 05:30:05-05	0.7
1559	2016-06-26 05:15:00-05	0.68
1560	2016-06-26 05:00:02-05	0.63
1561	2016-06-26 04:45:12-05	0.64
1562	2016-06-26 04:30:07-05	0.62
1563	2016-06-26 04:15:01-05	0.57
1564	2016-06-26 04:00:11-05	0.56
1565	2016-06-26 03:45:06-05	0.51
1566	2016-06-26 03:30:01-05	0.5
1567	2016-06-26 03:15:10-05	0.42
1568	2016-06-26 03:00:05-05	0.42
1569	2016-06-26 02:45:13-05	0.39
1570	2016-06-26 02:30:08-05	0.38
1571	2016-06-26 02:15:02-05	0.37
1572	2016-06-26 02:00:11-05	0.35
1573	2016-06-26 01:45:06-05	0.33
1574	2016-06-26 01:30:01-05	0.34
1575	2016-06-26 01:15:10-05	0.33
1576	2016-06-26 01:00:05-05	0.33
1577	2016-06-26 00:45:14-05	0.36
1578	2016-06-26 00:30:09-05	0.34
1579	2016-06-26 00:15:04-05	0.36
1580	2016-06-26 00:00:13-05	0.37
1581	2016-06-25 23:45:08-05	0.35
1582	2016-06-25 23:30:03-05	0.34
1583	2016-06-25 23:15:12-05	0.37
1584	2016-06-25 23:00:07-05	0.34
1585	2016-06-25 22:45:02-05	0.34
1586	2016-06-25 22:30:11-05	0.34
1587	2016-06-25 22:15:06-05	0.33
1588	2016-06-25 22:00:01-05	0.34
1589	2016-06-25 21:45:10-05	0.34
1590	2016-06-25 21:30:05-05	0.32
1591	2016-06-25 21:15:14-05	0.32
1592	2016-06-25 21:00:09-05	0.32
1593	2016-06-25 20:45:03-05	0.31
1594	2016-06-25 20:30:13-05	0.32
1595	2016-06-25 20:15:07-05	0.33
1596	2016-06-25 20:00:02-05	0.33
1597	2016-06-25 19:45:11-05	0.34
1598	2016-06-25 19:30:06-05	0.34
1599	2016-06-25 19:15:01-05	0.34
1600	2016-06-25 19:00:10-05	0.34
1601	2016-06-25 18:45:03-05	0.34
1602	2016-06-25 18:30:12-05	0.33
1603	2016-06-25 18:15:07-05	0.33
1604	2016-06-25 18:00:02-05	0.33
1605	2016-06-25 17:45:11-05	0.32
1606	2016-06-25 17:30:06-05	0.35
1607	2016-06-25 17:15:01-05	0.34
1608	2016-06-25 17:00:10-05	0.34
1609	2016-06-25 16:45:05-05	0.33
1610	2016-06-25 16:30:14-05	0.32
1611	2016-06-25 16:15:09-05	0.32
1612	2016-06-25 16:00:04-05	0.33
1613	2016-06-25 15:45:13-05	0.35
1614	2016-06-25 15:30:07-05	0.32
1615	2016-06-25 15:15:02-05	0.36
1616	2016-06-25 15:00:11-05	0.36
1617	2016-06-25 14:45:06-05	0.35
1618	2016-06-25 14:30:00-05	0.35
1619	2016-06-25 14:15:10-05	0.34
1620	2016-06-25 14:00:04-05	0.34
1621	2016-06-25 13:45:13-05	0.36
1622	2016-06-25 13:30:08-05	0.38
1623	2016-06-25 13:15:03-05	0.41
1624	2016-06-25 13:00:12-05	0.4
1625	2016-06-25 12:45:07-05	0.39
1626	2016-06-25 12:30:02-05	0.4
1627	2016-06-25 12:15:11-05	0.38
1628	2016-06-25 12:00:06-05	0.41
1629	2016-06-25 11:45:00-05	0.41
1630	2016-06-25 11:30:09-05	0.39
1631	2016-06-25 11:15:04-05	0.4
1632	2016-06-25 11:00:01-05	0.4
1633	2016-06-25 10:45:08-05	0.41
1634	2016-06-25 10:30:03-05	0.4
1635	2016-06-25 10:15:12-05	0.39
1636	2016-06-25 10:00:07-05	0.39
1637	2016-06-25 09:45:02-05	0.42
1638	2016-06-25 09:30:11-05	0.4
1639	2016-06-25 09:15:05-05	0.41
1640	2016-06-25 09:00:00-05	0.41
1641	2016-06-25 08:45:10-05	0.4
1642	2016-06-25 08:30:05-05	0.4
1643	2016-06-25 08:15:14-05	0.4
1644	2016-06-25 08:00:09-05	0.42
1645	2016-06-25 07:45:04-05	0.42
1646	2016-06-25 07:30:13-05	0.42
1647	2016-06-25 07:15:08-05	0.39
1648	2016-06-25 07:00:03-05	0.42
1649	2016-06-25 06:45:12-05	0.41
1650	2016-06-25 06:30:07-05	0.39
1651	2016-06-25 06:15:02-05	0.38
1652	2016-06-25 06:00:11-05	0.37
1653	2016-06-25 05:45:06-05	0.36
1654	2016-06-25 05:30:01-05	0.37
1655	2016-06-25 05:15:10-05	0.37
1656	2016-06-25 05:00:04-05	0.37
1657	2016-06-25 04:45:14-05	0.37
1658	2016-06-25 04:30:08-05	0.37
1659	2016-06-25 04:15:03-05	0.36
1660	2016-06-25 04:00:13-05	0.37
1661	2016-06-25 03:45:07-05	0.36
1662	2016-06-25 03:30:02-05	0.34
1663	2016-06-25 03:15:11-05	0.37
1664	2016-06-25 03:00:05-05	0.37
1665	2016-06-25 02:45:00-05	0.37
1666	2016-06-25 02:30:10-05	0.36
1667	2016-06-25 02:15:04-05	0.37
1668	2016-06-25 02:00:13-05	0.35
1669	2016-06-25 01:45:08-05	0.33
1670	2016-06-25 01:30:03-05	0.34
1671	2016-06-25 01:15:12-05	0.33
1672	2016-06-25 01:00:07-05	0.35
1673	2016-06-25 00:45:02-05	0.36
1674	2016-06-25 00:30:11-05	0.34
1675	2016-06-25 00:15:06-05	0.35
1676	2016-06-25 00:00:00-05	0.35
1677	2016-06-24 23:45:10-05	0.35
1678	2016-06-24 23:30:04-05	0.35
1679	2016-06-24 23:15:12-05	0.35
1680	2016-06-24 23:00:07-05	0.35
1681	2016-06-24 22:45:02-05	0.32
1682	2016-06-24 22:30:11-05	0.32
1683	2016-06-24 22:15:06-05	0.31
1684	2016-06-24 22:00:00-05	0.3
1685	2016-06-24 21:45:09-05	0.31
1686	2016-06-24 21:30:04-05	0.32
1687	2016-06-24 21:15:13-05	0.33
1688	2016-06-24 21:00:07-05	0.32
1689	2016-06-24 20:45:02-05	0.3
1690	2016-06-24 20:30:11-05	0.29
1691	2016-06-24 20:15:06-05	0.32
1692	2016-06-24 20:00:01-05	0.3
1693	2016-06-24 19:45:10-05	0.29
1694	2016-06-24 19:30:05-05	0.27
1695	2016-06-24 19:15:00-05	0.25
1696	2016-06-24 19:00:09-05	0.23
1697	2016-06-24 18:45:03-05	0.23
1698	2016-06-24 18:30:13-05	0.25
1699	2016-06-24 18:15:07-05	0.26
1700	2016-06-24 18:00:02-05	0.23
1701	2016-06-24 17:45:11-05	0.24
1702	2016-06-24 17:30:05-05	0.27
1703	2016-06-24 17:15:00-05	0.28
1704	2016-06-24 17:00:09-05	0.29
1705	2016-06-24 16:45:04-05	0.3
1706	2016-06-24 16:30:13-05	0.31
1707	2016-06-24 16:15:08-05	0.3
1708	2016-06-24 16:00:02-05	0.31
1709	2016-06-24 15:45:12-05	0.32
1710	2016-06-24 15:30:06-05	0.33
1711	2016-06-24 15:15:01-05	0.34
1712	2016-06-24 15:00:10-05	0.34
1713	2016-06-24 14:45:04-05	0.32
1714	2016-06-24 14:30:13-05	0.35
1715	2016-06-24 14:15:08-05	0.35
1716	2016-06-24 14:00:03-05	0.37
1717	2016-06-24 13:45:12-05	0.36
1718	2016-06-24 13:30:07-05	0.38
1719	2016-06-24 13:15:01-05	0.39
1720	2016-06-24 13:00:10-05	0.38
1721	2016-06-24 12:45:05-05	0.38
1722	2016-06-24 12:30:00-05	0.38
1723	2016-06-24 12:15:09-05	0.38
1724	2016-06-24 12:00:04-05	0.39
1725	2016-06-24 11:45:12-05	0.41
1726	2016-06-24 11:30:07-05	0.41
1727	2016-06-24 11:15:02-05	0.4
1728	2016-06-24 11:00:11-05	0.39
1729	2016-06-24 10:45:05-05	0.37
1730	2016-06-24 10:30:00-05	0.39
1731	2016-06-24 10:15:10-05	0.38
1732	2016-06-24 10:00:04-05	0.38
1733	2016-06-24 09:45:14-05	0.37
1734	2016-06-24 09:30:08-05	0.37
1735	2016-06-24 09:15:03-05	0.38
1736	2016-06-24 09:00:12-05	0.38
1737	2016-06-24 08:45:07-05	0.38
1738	2016-06-24 08:30:02-05	0.36
1739	2016-06-24 08:15:11-05	0.38
1740	2016-06-24 08:00:06-05	0.38
1741	2016-06-24 07:45:00-05	0.35
1742	2016-06-24 07:30:10-05	0.38
1743	2016-06-24 07:15:04-05	0.37
1744	2016-06-24 07:00:14-05	0.37
1745	2016-06-24 06:45:09-05	0.36
1746	2016-06-24 06:30:04-05	0.35
1747	2016-06-24 06:15:13-05	0.35
1748	2016-06-24 06:00:08-05	0.36
1749	2016-06-24 05:45:02-05	0.36
1750	2016-06-24 05:30:12-05	0.36
1751	2016-06-24 05:15:06-05	0.35
1752	2016-06-24 05:00:01-05	0.36
1753	2016-06-24 04:45:10-05	0.35
1754	2016-06-24 04:30:05-05	0.35
1755	2016-06-24 04:15:14-05	0.37
1756	2016-06-24 04:00:09-05	0.35
1757	2016-06-24 03:45:04-05	0.36
1758	2016-06-24 03:30:13-05	0.35
1759	2016-06-24 03:15:08-05	0.34
1760	2016-06-24 03:00:03-05	0.35
1761	2016-06-24 02:45:12-05	0.35
1762	2016-06-24 02:30:07-05	0.37
1763	2016-06-24 02:15:02-05	0.37
1764	2016-06-24 02:00:11-05	0.35
1765	2016-06-24 01:45:06-05	0.35
1766	2016-06-24 01:30:01-05	0.35
1767	2016-06-24 01:15:10-05	0.35
1768	2016-06-24 01:00:05-05	0.36
1769	2016-06-24 00:45:14-05	0.35
1770	2016-06-24 00:30:09-05	0.34
1771	2016-06-24 00:15:04-05	0.34
1772	2016-06-24 00:00:13-05	0.35
1773	2016-06-23 23:45:08-05	0.35
1774	2016-06-23 23:30:03-05	0.33
1775	2016-06-23 23:15:13-05	0.35
1776	2016-06-23 23:00:07-05	0.36
1777	2016-06-23 22:45:02-05	0.35
1778	2016-06-23 22:30:11-05	0.34
1779	2016-06-23 22:15:06-05	0.32
1780	2016-06-23 22:00:01-05	0.29
1781	2016-06-23 21:45:10-05	0.32
1782	2016-06-23 21:30:05-05	0.3
1783	2016-06-23 21:15:14-05	0.29
1784	2016-06-23 21:00:09-05	0.28
1785	2016-06-23 20:45:04-05	0.24
1786	2016-06-23 20:30:13-05	0.25
1787	2016-06-23 20:15:08-05	0.23
1788	2016-06-23 20:00:01-05	0.23
1789	2016-06-23 19:45:10-05	0.23
1790	2016-06-23 19:30:05-05	0.24
1791	2016-06-23 19:15:14-05	0.24
1792	2016-06-23 19:00:08-05	0.23
1793	2016-06-23 18:45:03-05	0.25
1794	2016-06-23 18:30:12-05	0.25
1795	2016-06-23 18:15:07-05	0.25
1796	2016-06-23 18:00:01-05	0.26
1797	2016-06-23 17:45:10-05	0.28
1798	2016-06-23 17:30:04-05	0.28
1799	2016-06-23 17:15:13-05	0.3
1800	2016-06-23 17:00:08-05	0.3
1801	2016-06-23 16:45:02-05	0.32
1802	2016-06-23 16:30:12-05	0.34
1803	2016-06-23 16:15:05-05	0.32
1804	2016-06-23 16:00:14-05	0.33
1805	2016-06-23 15:45:09-05	0.36
1806	2016-06-23 15:30:04-05	0.34
1807	2016-06-23 15:15:13-05	0.36
1808	2016-06-23 15:00:07-05	0.35
1809	2016-06-23 14:45:02-05	0.32
1810	2016-06-23 14:30:11-05	0.38
1811	2016-06-23 14:15:06-05	0.38
1812	2016-06-23 14:00:00-05	0.38
1813	2016-06-23 13:45:09-05	0.38
1814	2016-06-23 13:30:04-05	0.39
1815	2016-06-23 13:15:13-05	0.38
1816	2016-06-23 13:00:08-05	0.37
1817	2016-06-23 12:45:03-05	0.39
1818	2016-06-23 12:30:11-05	0.4
1819	2016-06-23 12:15:05-05	0.4
1820	2016-06-23 12:00:00-05	0.41
1821	2016-06-23 11:45:09-05	0.42
1822	2016-06-23 11:30:03-05	0.41
1823	2016-06-23 11:15:13-05	0.42
1824	2016-06-23 11:00:07-05	0.42
1825	2016-06-23 10:45:02-05	0.42
1826	2016-06-23 10:30:11-05	0.42
1827	2016-06-23 10:15:06-05	0.43
1828	2016-06-23 10:00:14-05	0.41
1829	2016-06-23 09:45:08-05	0.42
1830	2016-06-23 09:30:03-05	0.42
1831	2016-06-23 09:15:12-05	0.42
1832	2016-06-23 09:00:07-05	0.4
1833	2016-06-23 08:45:02-05	0.42
1834	2016-06-23 08:30:11-05	0.41
1835	2016-06-23 08:15:05-05	0.41
1836	2016-06-23 08:00:14-05	0.42
1837	2016-06-23 07:45:09-05	0.39
1838	2016-06-23 07:30:04-05	0.42
1839	2016-06-23 07:15:13-05	0.4
1840	2016-06-23 07:00:08-05	0.41
1841	2016-06-23 06:45:03-05	0.4
1842	2016-06-23 06:30:12-05	0.4
1843	2016-06-23 06:15:07-05	0.39
1844	2016-06-23 06:00:02-05	0.4
1845	2016-06-23 05:45:11-05	0.37
1846	2016-06-23 05:30:06-05	0.36
1847	2016-06-23 05:15:00-05	0.38
1848	2016-06-23 05:00:10-05	0.35
1849	2016-06-23 04:45:04-05	0.36
1850	2016-06-23 04:30:13-05	0.37
1851	2016-06-23 04:15:08-05	0.39
1852	2016-06-23 04:00:03-05	0.37
1853	2016-06-23 03:45:12-05	0.38
1854	2016-06-23 03:30:07-05	0.38
1855	2016-06-23 03:15:02-05	0.39
1856	2016-06-23 03:00:11-05	0.36
1857	2016-06-23 02:45:05-05	0.39
1858	2016-06-23 02:30:14-05	0.39
1859	2016-06-23 02:15:09-05	0.38
1860	2016-06-23 02:00:04-05	0.37
1861	2016-06-23 01:45:13-05	0.38
1862	2016-06-23 01:30:07-05	0.37
1863	2016-06-23 01:15:02-05	0.39
1864	2016-06-23 01:00:11-05	0.39
1865	2016-06-23 00:45:06-05	0.4
1866	2016-06-23 00:30:01-05	0.4
1867	2016-06-23 00:15:10-05	0.42
1868	2016-06-23 00:00:04-05	0.4
1869	2016-06-22 23:45:14-05	0.33
1870	2016-06-22 23:30:08-05	0.32
1871	2016-06-22 23:15:03-05	0.32
1872	2016-06-22 23:00:12-05	0.32
1873	2016-06-22 22:45:07-05	0.3
1874	2016-06-22 22:30:02-05	0.31
1875	2016-06-22 22:15:10-05	0.3
1876	2016-06-22 22:00:05-05	0.3
1877	2016-06-22 21:45:00-05	0.29
1878	2016-06-22 21:30:09-05	0.31
1879	2016-06-22 21:15:04-05	0.3
1880	2016-06-22 21:00:13-05	0.3
1881	2016-06-22 20:45:08-05	0.3
1882	2016-06-22 20:30:03-05	0.31
1883	2016-06-22 20:15:12-05	0.29
1884	2016-06-22 20:00:07-05	0.29
1885	2016-06-22 19:45:02-05	0.29
1886	2016-06-22 19:30:11-05	0.32
1887	2016-06-22 19:15:06-05	0.32
1888	2016-06-22 19:00:01-05	0.32
1889	2016-06-22 18:45:10-05	0.33
1890	2016-06-22 18:30:05-05	0.34
1891	2016-06-22 18:15:14-05	0.33
1892	2016-06-22 18:00:09-05	0.36
1893	2016-06-22 17:45:03-05	0.38
1894	2016-06-22 17:30:12-05	0.39
1895	2016-06-22 17:15:07-05	0.41
1896	2016-06-22 17:00:02-05	0.39
1897	2016-06-22 16:45:11-05	0.44
1898	2016-06-22 16:30:05-05	0.42
1899	2016-06-22 16:15:00-05	0.42
1900	2016-06-22 16:00:09-05	0.41
1901	2016-06-22 15:45:04-05	0.41
1902	2016-06-22 15:30:13-05	-1.91
1903	2016-06-22 15:15:08-05	0.38
1904	2016-06-22 15:00:03-05	0.4
1905	2016-06-22 14:45:12-05	0.41
1906	2016-06-22 14:30:07-05	0.45
1907	2016-06-22 14:15:02-05	0.41
1908	2016-06-22 14:00:11-05	0.43
1909	2016-06-22 13:45:05-05	0.44
1910	2016-06-22 13:30:14-05	0.45
1911	2016-06-22 13:15:09-05	0.45
1912	2016-06-22 13:00:04-05	0.44
1913	2016-06-22 12:45:13-05	0.45
1914	2016-06-22 12:30:07-05	0.45
1915	2016-06-22 12:15:02-05	0.47
1916	2016-06-22 12:00:11-05	0.47
1917	2016-06-22 11:45:06-05	0.46
1918	2016-06-22 11:30:00-05	0.47
1919	2016-06-22 11:15:10-05	0.49
1920	2016-06-22 11:00:04-05	0.46
1921	2016-06-22 10:45:14-05	0.47
1922	2016-06-22 10:30:08-05	0.48
1923	2016-06-22 10:15:03-05	0.48
1924	2016-06-22 10:00:12-05	0.48
1925	2016-06-22 09:45:07-05	0.48
1926	2016-06-22 09:30:02-05	0.48
1927	2016-06-22 09:15:11-05	0.46
1928	2016-06-22 09:00:05-05	0.47
1929	2016-06-22 08:45:00-05	0.46
1930	2016-06-22 08:30:10-05	0.45
1931	2016-06-22 08:15:04-05	0.45
1932	2016-06-22 08:00:14-05	0.43
1933	2016-06-22 07:45:08-05	0.41
1934	2016-06-22 07:30:03-05	0.44
1935	2016-06-22 07:15:12-05	0.45
1936	2016-06-22 07:00:07-05	0.44
1937	2016-06-22 06:45:01-05	0.44
1938	2016-06-22 06:30:11-05	0.45
1939	2016-06-22 06:15:06-05	0.44
1940	2016-06-22 06:00:00-05	0.44
1941	2016-06-22 05:45:09-05	0.44
1942	2016-06-22 05:30:04-05	0.44
1943	2016-06-22 05:15:13-05	0.44
1944	2016-06-22 05:00:08-05	0.44
1945	2016-06-22 04:45:03-05	0.44
1946	2016-06-22 04:30:12-05	0.42
1947	2016-06-22 04:15:06-05	0.42
1948	2016-06-22 04:00:01-05	0.4
1949	2016-06-22 03:45:11-05	0.41
1950	2016-06-22 03:30:05-05	0.41
1951	2016-06-22 03:15:00-05	0.4
1952	2016-06-22 03:00:09-05	0.4
1953	2016-06-22 02:45:04-05	0.39
1954	2016-06-22 02:30:13-05	0.4
1955	2016-06-22 02:15:07-05	0.38
1956	2016-06-22 02:00:02-05	0.37
1957	2016-06-22 01:45:11-05	0.41
1958	2016-06-22 01:30:06-05	0.41
1959	2016-06-22 01:15:01-05	0.41
1960	2016-06-22 01:00:10-05	0.39
1961	2016-06-22 00:45:05-05	0.39
1962	2016-06-22 00:30:11-05	0.41
1963	2016-06-22 00:15:06-05	0.38
1964	2016-06-22 00:00:01-05	0.39
1965	2016-06-21 23:45:10-05	0.4
1966	2016-06-21 23:30:05-05	0.4
1967	2016-06-21 23:15:14-05	0.39
1968	2016-06-21 23:00:03-05	0.39
1969	2016-06-21 22:45:09-05	0.38
1970	2016-06-21 22:30:11-05	0.35
1971	2016-06-21 22:15:05-05	0.37
1972	2016-06-21 22:00:06-05	0.35
1973	2016-06-21 21:45:12-05	0.35
1974	2016-06-21 21:30:07-05	0.36
1975	2016-06-21 21:15:01-05	0.34
1976	2016-06-21 21:00:11-05	0.33
1977	2016-06-21 20:45:05-05	0.31
1978	2016-06-21 20:30:12-05	0.35
1979	2016-06-21 20:15:06-05	0.32
1980	2016-06-21 20:00:00-05	0.33
1981	2016-06-21 19:45:10-05	0.31
1982	2016-06-21 19:30:04-05	0.3
1983	2016-06-21 19:15:14-05	0.29
1984	2016-06-21 19:00:09-05	0.29
1985	2016-06-21 18:45:03-05	0.29
1986	2016-06-21 18:30:13-05	0.26
1987	2016-06-21 18:15:07-05	0.32
1988	2016-06-21 18:00:02-05	0.33
1989	2016-06-21 17:45:11-05	0.31
1990	2016-06-21 17:30:06-05	0.3
1991	2016-06-21 17:15:01-05	0.27
1992	2016-06-21 17:00:10-05	0.28
1993	2016-06-21 16:45:04-05	0.31
1994	2016-06-21 16:30:14-05	0.33
1995	2016-06-21 16:15:08-05	0.36
1996	2016-06-21 16:00:03-05	0.35
1997	2016-06-21 15:45:12-05	0.32
1998	2016-06-21 15:30:04-05	0.36
1999	2016-06-21 15:15:12-05	0.37
2000	2016-06-21 15:00:07-05	0.38
2001	2016-06-21 14:45:02-05	0.36
2002	2016-06-21 14:30:11-05	0.38
2003	2016-06-21 14:15:05-05	0.39
2004	2016-06-21 14:00:00-05	0.4
2005	2016-06-21 13:45:09-05	0.42
2006	2016-06-21 13:30:04-05	0.39
2007	2016-06-21 13:15:13-05	0.42
2008	2016-06-21 13:00:07-05	0.44
2009	2016-06-21 12:45:02-05	0.43
2010	2016-06-21 12:30:11-05	0.4
2011	2016-06-21 12:15:06-05	0.43
2012	2016-06-21 12:00:01-05	0.42
2013	2016-06-21 11:45:10-05	0.42
2014	2016-06-21 11:30:05-05	0.43
2015	2016-06-21 11:15:14-05	0.43
2016	2016-06-21 11:00:09-05	0.45
2017	2016-06-21 10:45:04-05	0.43
2018	2016-06-21 10:30:13-05	0.43
2019	2016-06-21 10:15:07-05	0.43
2020	2016-06-21 10:00:02-05	0.44
2021	2016-06-21 09:45:11-05	0.42
2022	2016-06-21 09:30:06-05	0.42
2023	2016-06-21 09:15:00-05	0.43
2024	2016-06-21 09:00:10-05	0.44
2025	2016-06-21 08:45:05-05	0.44
2026	2016-06-21 08:30:13-05	0.45
2027	2016-06-21 08:15:01-05	0.43
2028	2016-06-21 08:00:05-05	0.44
2029	2016-06-21 07:45:11-05	0.44
2030	2016-06-21 07:30:14-05	0.43
2031	2016-06-21 07:15:07-05	0.41
2032	2016-06-21 07:00:02-05	0.4
2033	2016-06-21 06:45:11-05	0.37
2034	2016-06-21 06:30:06-05	0.37
2035	2016-06-21 06:15:06-05	0.37
2036	2016-06-21 06:00:06-05	0.35
2037	2016-06-21 05:45:01-05	0.35
2038	2016-06-21 05:30:02-05	0.33
2039	2016-06-21 05:15:08-05	0.32
2040	2016-06-21 05:00:10-05	0.31
2041	2016-06-21 04:45:04-05	0.33
2042	2016-06-21 04:30:11-05	0.33
2043	2016-06-21 04:15:05-05	0.34
2044	2016-06-21 04:00:14-05	0.36
2045	2016-06-21 03:45:04-05	0.36
2046	2016-06-21 03:30:03-05	0.37
2047	2016-06-21 03:15:12-05	0.38
2048	2016-06-21 03:00:06-05	0.37
2049	2016-06-21 02:45:11-05	0.35
2050	2016-06-21 02:30:04-05	0.36
2051	2016-06-21 02:15:02-05	0.33
2052	2016-06-21 02:00:10-05	0.34
2053	2016-06-21 01:45:01-05	0.34
2054	2016-06-21 01:30:10-05	0.35
2055	2016-06-21 01:15:05-05	0.35
2056	2016-06-21 01:00:00-05	0.35
2057	2016-06-21 00:45:09-05	0.35
2058	2016-06-21 00:30:04-05	0.35
2059	2016-06-21 00:15:13-05	0.35
2060	2016-06-21 00:00:08-05	0.35
2061	2016-06-20 23:45:03-05	0.34
2062	2016-06-20 23:30:12-05	0.33
2063	2016-06-20 23:15:07-05	0.34
2064	2016-06-20 23:00:01-05	0.32
2065	2016-06-20 22:45:10-05	0.34
2066	2016-06-20 22:30:05-05	0.32
2067	2016-06-20 22:15:00-05	0.3
2068	2016-06-20 22:00:08-05	0.31
2069	2016-06-20 21:45:02-05	0.28
2070	2016-06-20 21:30:11-05	0.3
2071	2016-06-20 21:15:06-05	0.27
2072	2016-06-20 21:00:01-05	0.25
2073	2016-06-20 20:45:10-05	0.25
2074	2016-06-20 20:30:05-05	0.27
2075	2016-06-20 20:15:14-05	0.25
2076	2016-06-20 20:00:09-05	0.25
2077	2016-06-20 19:45:04-05	0.28
2078	2016-06-20 19:30:13-05	0.28
2079	2016-06-20 19:15:08-05	0.29
2080	2016-06-20 19:00:02-05	0.29
2081	2016-06-20 18:45:11-05	0.29
2082	2016-06-20 18:30:06-05	0.25
2083	2016-06-20 18:15:00-05	0.29
2084	2016-06-20 18:00:10-05	0.3
2085	2016-06-20 17:45:05-05	0.31
2086	2016-06-20 17:30:14-05	0.32
2087	2016-06-20 17:15:08-05	0.32
2088	2016-06-20 17:00:03-05	0.32
2089	2016-06-20 16:45:12-05	0.33
2090	2016-06-20 16:30:07-05	0.35
2091	2016-06-20 16:15:02-05	0.35
2092	2016-06-20 16:00:11-05	0.35
2093	2016-06-20 15:45:06-05	0.37
2094	2016-06-20 15:30:00-05	0.36
2095	2016-06-20 15:15:10-05	0.37
2096	2016-06-20 15:00:04-05	0.38
2097	2016-06-20 14:45:13-05	0.39
2098	2016-06-20 14:30:08-05	0.39
2099	2016-06-20 14:15:02-05	0.38
2100	2016-06-20 14:00:11-05	0.4
2101	2016-06-20 13:45:06-05	0.4
2102	2016-06-20 13:30:01-05	0.4
2103	2016-06-20 13:15:09-05	0.41
2104	2016-06-20 13:00:04-05	0.43
2105	2016-06-20 12:45:13-05	0.44
2106	2016-06-20 12:30:08-05	0.42
2107	2016-06-20 12:15:03-05	0.44
2108	2016-06-20 12:00:11-05	0.43
