	timestamp(CST)	stage(ft)
151	2016-07-10 21:15:01-05	0.62
152	2016-07-10 21:00:10-05	0.64
153	2016-07-10 20:45:05-05	0.64
154	2016-07-10 20:30:14-05	0.64
155	2016-07-10 20:15:08-05	0.65
156	2016-07-10 20:00:03-05	0.65
157	2016-07-10 19:45:13-05	0.67
158	2016-07-10 19:30:07-05	0.69
159	2016-07-10 19:15:01-05	0.7
160	2016-07-10 19:00:10-05	0.72
161	2016-07-10 18:45:05-05	0.74
162	2016-07-10 18:30:14-05	0.8
163	2016-07-10 18:15:09-05	0.84
164	2016-07-10 18:00:03-05	0.86
165	2016-07-10 17:45:13-05	0.88
166	2016-07-10 17:30:08-05	0.9
167	2016-07-10 17:15:03-05	0.91
168	2016-07-10 17:00:12-05	0.92
169	2016-07-10 16:45:07-05	0.96
170	2016-07-10 16:30:01-05	0.96
171	2016-07-10 16:15:10-05	0.94
172	2016-07-10 16:00:04-05	0.91
173	2016-07-10 15:45:13-05	0.9
174	2016-07-10 15:30:08-05	0.89
175	2016-07-10 15:15:03-05	0.89
176	2016-07-10 15:00:11-05	0.89
177	2016-07-10 14:45:14-05	0.89
178	2016-07-10 14:30:09-05	0.85
179	2016-07-10 14:15:02-05	0.79
180	2016-07-10 14:00:09-05	0.71
181	2016-07-10 13:45:03-05	0.62
182	2016-07-10 13:30:06-05	0.57
183	2016-07-10 13:15:08-05	0.55
184	2016-07-10 13:00:03-05	0.54
185	2016-07-10 12:45:12-05	0.54
186	2016-07-10 12:30:07-05	0.53
187	2016-07-10 12:15:01-05	0.51
188	2016-07-10 12:00:11-05	-6.07
189	2016-07-10 11:45:05-05	0.45
190	2016-07-10 11:30:14-05	0.46
191	2016-07-10 11:15:09-05	0.44
192	2016-07-10 11:00:10-05	0.48
193	2016-07-10 10:45:12-05	0.41
194	2016-07-10 10:30:00-05	0.45
195	2016-07-10 10:15:04-05	0.42
196	2016-07-10 10:00:06-05	0.39
197	2016-07-10 09:45:09-05	0.36
198	2016-07-10 09:30:12-05	0.26
199	2016-07-10 09:15:14-05	0.33
200	2016-07-10 09:00:02-05	0.34
201	2016-07-10 08:45:05-05	0.33
202	2016-07-10 08:30:08-05	0.33
203	2016-07-10 08:15:10-05	0.33
204	2016-07-10 08:00:14-05	0.32
205	2016-07-10 07:45:01-05	0.33
206	2016-07-10 07:30:05-05	0.33
207	2016-07-10 07:15:08-05	0.34
208	2016-07-10 07:00:11-05	0.33
209	2016-07-10 06:45:14-05	0.31
210	2016-07-10 06:30:02-05	0.33
211	2016-07-10 06:15:06-05	0.32
212	2016-07-10 06:00:08-05	0.32
213	2016-07-10 05:45:11-05	0.3
214	2016-07-10 05:30:13-05	0.31
215	2016-07-10 05:15:02-05	0.3
216	2016-07-10 05:00:04-05	0.31
217	2016-07-10 04:45:07-05	0.28
218	2016-07-10 04:30:09-05	0.29
219	2016-07-10 04:15:13-05	0.29
220	2016-07-10 04:00:01-05	0.28
221	2016-07-10 03:45:04-05	0.27
222	2016-07-10 03:30:08-05	0.27
223	2016-07-10 03:15:11-05	0.28
224	2016-07-10 03:00:14-05	0.29
225	2016-07-10 02:45:02-05	0.28
226	2016-07-10 02:30:05-05	0.26
227	2016-07-10 02:15:08-05	0.28
228	2016-07-10 02:00:08-05	0.27
229	2016-07-10 01:45:10-05	0.26
230	2016-07-10 01:30:13-05	0.26
231	2016-07-10 01:15:15-05	0.26
232	2016-07-10 01:00:03-05	0.25
233	2016-07-10 00:45:05-05	0.24
234	2016-07-10 00:30:01-05	0.23
235	2016-07-10 00:15:03-05	0.23
236	2016-07-10 00:00:04-05	0.23
237	2016-07-09 23:45:06-05	0.24
238	2016-07-09 23:30:09-05	0.23
239	2016-07-09 23:15:07-05	0.22
240	2016-07-09 23:00:10-05	0.21
241	2016-07-09 22:45:10-05	0.21
242	2016-07-09 22:30:12-05	0.2
243	2016-07-09 22:15:12-05	0.21
244	2016-07-09 22:00:15-05	0.2
245	2016-07-09 21:45:14-05	0.18
246	2016-07-09 21:30:12-05	0.16
247	2016-07-09 21:15:12-05	0.15
248	2016-07-09 21:00:13-05	0.14
249	2016-07-09 20:45:00-05	0.12
250	2016-07-09 20:30:14-05	0.11
251	2016-07-09 20:15:01-05	0.1
252	2016-07-09 20:00:14-05	-2.34
253	2016-07-09 19:45:02-05	0.12
254	2016-07-09 19:30:04-05	0.12
255	2016-07-09 19:15:07-05	0.11
256	2016-07-09 19:00:10-05	0.13
257	2016-07-09 18:45:13-05	0.13
258	2016-07-09 18:30:01-05	0.12
259	2016-07-09 18:15:05-05	0.13
260	2016-07-09 18:00:07-05	0.13
261	2016-07-09 17:45:10-05	0.12
262	2016-07-09 17:30:13-05	0.14
263	2016-07-09 17:15:01-05	0.14
264	2016-07-09 17:00:04-05	0.17
265	2016-07-09 16:45:08-05	0.18
266	2016-07-09 16:30:11-05	0.23
267	2016-07-09 16:15:14-05	0.22
268	2016-07-09 16:00:02-05	0.22
269	2016-07-09 15:45:06-05	0.24
270	2016-07-09 15:30:08-05	0.24
271	2016-07-09 15:15:11-05	0.24
272	2016-07-09 15:00:14-05	0.22
273	2016-07-09 14:45:02-05	0.25
274	2016-07-09 14:30:06-05	0.23
275	2016-07-09 14:15:07-05	0.27
276	2016-07-09 14:00:10-05	0.25
277	2016-07-09 13:45:11-05	0.27
278	2016-07-09 13:30:14-05	0.3
279	2016-07-09 13:15:02-05	0.31
280	2016-07-09 13:00:05-05	0.28
281	2016-07-09 12:45:08-05	0.26
282	2016-07-09 12:30:11-05	0.29
283	2016-07-09 12:15:14-05	0.29
284	2016-07-09 12:00:01-05	0.31
285	2016-07-09 11:45:04-05	0.32
286	2016-07-09 11:30:07-05	0.33
287	2016-07-09 11:15:10-05	0.32
288	2016-07-09 11:00:12-05	0.34
289	2016-07-09 10:45:00-05	0.32
290	2016-07-09 10:30:03-05	0.32
291	2016-07-09 10:15:05-05	0.33
292	2016-07-09 10:00:08-05	0.31
293	2016-07-09 09:45:11-05	0.34
294	2016-07-09 09:30:14-05	0.34
295	2016-07-09 09:15:02-05	0.34
296	2016-07-09 09:00:05-05	0.34
297	2016-07-09 08:45:08-05	0.34
298	2016-07-09 08:30:11-05	0.33
299	2016-07-09 08:15:13-05	0.32
300	2016-07-09 08:00:02-05	0.33
301	2016-07-09 07:45:04-05	0.34
302	2016-07-09 07:30:08-05	0.33
303	2016-07-09 07:15:10-05	0.32
304	2016-07-09 07:00:00-05	0.32
305	2016-07-09 06:45:03-05	0.29
306	2016-07-09 06:30:00-05	0.29
307	2016-07-09 06:15:04-05	0.27
308	2016-07-09 06:00:07-05	0.25
309	2016-07-09 05:45:10-05	0.26
310	2016-07-09 05:30:07-05	0.26
311	2016-07-09 05:15:10-05	0.25
312	2016-07-09 05:00:10-05	0.26
313	2016-07-09 04:45:13-05	0.27
314	2016-07-09 04:30:13-05	0.29
315	2016-07-09 04:15:00-05	0.24
316	2016-07-09 04:00:03-05	0.26
317	2016-07-09 03:45:05-05	0.24
318	2016-07-09 03:30:08-05	0.25
319	2016-07-09 03:15:06-05	0.26
320	2016-07-09 03:00:06-05	0.24
321	2016-07-09 02:45:09-05	0.24
322	2016-07-09 02:30:09-05	0.25
323	2016-07-09 02:15:06-05	0.26
324	2016-07-09 02:00:07-05	0.26
325	2016-07-09 01:45:09-05	0.26
326	2016-07-09 01:30:10-05	0.24
327	2016-07-09 01:15:12-05	0.23
328	2016-07-09 01:00:06-05	0.22
329	2016-07-09 00:45:07-05	0.23
330	2016-07-09 00:30:04-05	0.23
331	2016-07-09 00:15:03-05	0.24
332	2016-07-09 00:00:05-05	0.23
333	2016-07-08 23:45:07-05	0.25
334	2016-07-08 23:30:07-05	0.25
335	2016-07-08 23:15:09-05	0.23
336	2016-07-08 23:00:12-05	0.24
337	2016-07-08 22:45:00-05	0.23
338	2016-07-08 22:30:02-05	0.23
339	2016-07-08 22:15:00-05	0.24
340	2016-07-08 22:00:03-05	0.24
341	2016-07-08 21:45:05-05	0.23
342	2016-07-08 21:30:08-05	0.23
343	2016-07-08 21:15:10-05	0.2
344	2016-07-08 21:00:13-05	0.19
345	2016-07-08 20:45:00-05	0.17
346	2016-07-08 20:30:04-05	0.17
347	2016-07-08 20:15:07-05	0.18
348	2016-07-08 20:00:09-05	0.18
349	2016-07-08 19:45:13-05	0.19
350	2016-07-08 19:30:01-05	0.19
351	2016-07-08 19:15:04-05	0.19
352	2016-07-08 19:00:07-05	0.22
353	2016-07-08 18:45:09-05	0.22
354	2016-07-08 18:30:11-05	0.22
355	2016-07-08 18:15:14-05	0.22
356	2016-07-08 18:00:01-05	0.22
357	2016-07-08 17:45:04-05	0.25
358	2016-07-08 17:30:06-05	0.26
359	2016-07-08 17:15:08-05	0.27
360	2016-07-08 17:00:11-05	0.27
361	2016-07-08 16:45:14-05	0.28
362	2016-07-08 16:30:02-05	0.29
363	2016-07-08 16:15:05-05	0.29
364	2016-07-08 16:00:08-05	0.31
365	2016-07-08 15:45:10-05	0.32
366	2016-07-08 15:30:13-05	0.31
367	2016-07-08 15:15:01-05	0.32
368	2016-07-08 15:00:05-05	0.32
369	2016-07-08 14:45:07-05	0.34
370	2016-07-08 14:30:10-05	0.34
371	2016-07-08 14:15:12-05	0.35
372	2016-07-08 14:00:00-05	0.35
373	2016-07-08 13:45:03-05	0.33
374	2016-07-08 13:30:06-05	0.33
375	2016-07-08 13:15:09-05	0.33
376	2016-07-08 13:00:12-05	0.32
377	2016-07-08 12:45:09-05	0.34
378	2016-07-08 12:30:12-05	0.35
379	2016-07-08 12:15:00-05	0.35
380	2016-07-08 12:00:02-05	0.35
381	2016-07-08 11:45:05-05	0.37
382	2016-07-08 11:30:07-05	0.36
383	2016-07-08 11:15:10-05	0.35
384	2016-07-08 11:00:13-05	0.37
385	2016-07-08 10:45:00-05	0.37
386	2016-07-08 10:30:04-05	0.37
387	2016-07-08 10:15:07-05	0.35
388	2016-07-08 10:00:09-05	0.39
389	2016-07-08 09:45:12-05	0.38
390	2016-07-08 09:30:14-05	0.4
391	2016-07-08 09:15:02-05	0.39
392	2016-07-08 09:00:05-05	0.4
393	2016-07-08 08:45:08-05	0.38
394	2016-07-08 08:30:10-05	0.38
395	2016-07-08 08:15:13-05	0.38
396	2016-07-08 08:00:01-05	0.38
397	2016-07-08 07:45:04-05	0.38
398	2016-07-08 07:30:06-05	0.38
399	2016-07-08 07:15:09-05	0.38
400	2016-07-08 07:00:13-05	0.37
401	2016-07-08 06:45:01-05	0.37
402	2016-07-08 06:30:04-05	0.36
403	2016-07-08 06:15:07-05	0.35
404	2016-07-08 06:00:09-05	0.33
405	2016-07-08 05:45:12-05	0.34
406	2016-07-08 05:30:14-05	0.34
407	2016-07-08 05:15:03-05	0.34
408	2016-07-08 05:00:07-05	0.32
