timestamp (CST)	stage (ft)
2016-06-14 05:00:02-05	0.86
2016-06-14 05:15:12-05	0.85
2016-06-14 05:30:06-05	0.87
2016-06-14 05:45:03-05	0.86
2016-06-14 06:00:02-05	0.87
2016-06-14 06:15:12-05	0.87
2016-06-14 06:30:06-05	0.88
2016-06-14 06:45:01-05	0.88
2016-06-14 07:00:10-05	0.89
2016-06-14 07:15:05-05	0.9
2016-06-14 07:30:15-05	0.91
2016-06-14 07:45:09-05	0.9
2016-06-14 08:00:04-05	0.89
2016-06-14 08:15:13-05	0.91
2016-06-14 08:30:08-05	0.89
2016-06-14 08:45:03-05	0.9
2016-06-14 09:00:12-05	0.88
2016-06-14 09:15:07-05	0.89
2016-06-14 09:30:01-05	0.88
2016-06-14 09:45:12-05	0.88
2016-06-14 10:00:07-05	0.89
2016-06-14 10:15:02-05	0.88
2016-06-14 10:30:12-05	0.88
2016-06-14 10:45:07-05	0.87
2016-06-14 11:00:02-05	0.87
2016-06-14 11:15:12-05	0.87
2016-06-14 11:30:06-05	0.85
2016-06-14 11:45:00-05	0.85
2016-06-14 12:00:10-05	0.84
2016-06-14 12:15:05-05	0.85
2016-06-14 12:30:00-05	0.85
2016-06-14 12:45:10-05	0.84
2016-06-14 13:00:06-05	0.84
2016-06-14 13:15:01-05	0.84
2016-06-14 13:30:11-05	0.85
2016-06-14 13:45:05-05	0.84
2016-06-14 14:00:00-05	0.83
2016-06-14 14:15:10-05	0.83
2016-06-14 14:30:05-05	0.84
2016-06-14 14:45:14-05	0.84
2016-06-14 15:00:09-05	0.83
2016-06-14 15:15:03-05	0.84
2016-06-14 15:30:13-05	0.83
2016-06-14 15:45:09-05	0.81
2016-06-14 16:00:04-05	0.8
2016-06-14 16:15:14-05	0.81
2016-06-14 16:30:08-05	0.79
2016-06-14 16:45:03-05	0.8
2016-06-14 17:00:13-05	0.79
2016-06-14 17:15:08-05	0.75
2016-06-14 17:30:04-05	0.76
2016-06-14 17:45:11-05	0.79
2016-06-14 18:00:07-05	0.8
2016-06-14 18:15:01-05	0.8
2016-06-14 18:30:11-05	0.69
2016-06-14 18:45:06-05	0.7
2016-06-14 19:00:01-05	0.76
2016-06-14 19:15:11-05	0.75
2016-06-14 19:30:06-05	0.78
2016-06-14 19:45:01-05	0.72
2016-06-14 20:00:11-05	0.74
2016-06-14 20:15:06-05	0.84
2016-06-14 20:30:01-05	0.87
2016-06-14 20:45:10-05	0.9
2016-06-14 21:00:05-05	0.89
2016-06-14 21:15:01-05	0.9
2016-06-14 21:30:11-05	0.9
2016-06-14 21:45:06-05	0.91
2016-06-14 22:00:01-05	0.9
2016-06-14 22:15:10-05	0.9
2016-06-14 22:30:05-05	0.92
2016-06-14 22:45:15-05	0.91
2016-06-14 23:00:09-05	0.91
2016-06-14 23:15:04-05	0.91
2016-06-14 23:30:14-05	0.92
2016-06-14 23:45:09-05	0.93
2016-06-15 00:00:03-05	0.9
2016-06-15 00:15:13-05	0.89
2016-06-15 00:30:08-05	0.9
2016-06-15 00:45:02-05	0.89
2016-06-15 01:00:12-05	0.9
2016-06-15 01:15:07-05	0.88
2016-06-15 01:30:02-05	0.89
2016-06-15 01:45:12-05	0.9
2016-06-15 02:00:06-05	0.88
2016-06-15 02:15:01-05	0.88
2016-06-15 02:30:11-05	0.87
2016-06-15 02:45:06-05	0.87
2016-06-15 03:00:00-05	0.87
2016-06-15 03:15:10-05	0.87
2016-06-15 03:30:05-05	0.86
2016-06-15 03:45:14-05	0.86
2016-06-15 04:00:09-05	0.86
2016-06-15 04:15:04-05	0.87
2016-06-15 04:30:14-05	0.85
2016-06-15 04:45:08-05	0.85
2016-06-15 05:00:03-05	0.85
2016-06-15 05:15:13-05	0.85
2016-06-15 05:30:07-05	0.85
2016-06-15 05:45:02-05	0.86
2016-06-15 06:00:12-05	0.86
2016-06-15 06:15:06-05	0.87
2016-06-15 06:30:01-05	0.87
2016-06-15 06:45:11-05	0.89
2016-06-15 07:00:05-05	0.89
2016-06-15 07:15:01-05	0.9
2016-06-15 07:30:12-05	0.91
2016-06-15 07:45:06-05	0.92
2016-06-15 08:00:01-05	0.92
2016-06-15 08:15:11-05	0.92
2016-06-15 08:30:06-05	0.93
2016-06-15 08:45:00-05	0.93
2016-06-15 09:00:10-05	0.88
2016-06-15 09:15:05-05	0.87
2016-06-15 09:30:00-05	0.87
2016-06-15 09:45:10-05	0.87
2016-06-15 10:00:05-05	0.89
2016-06-15 10:15:00-05	0.88
2016-06-15 10:30:10-05	0.87
2016-06-15 10:45:05-05	0.89
2016-06-15 11:00:00-05	0.88
2016-06-15 11:15:12-05	0.88
2016-06-15 11:30:07-05	0.88
2016-06-15 11:45:02-05	0.87
2016-06-15 12:00:12-05	0.85
2016-06-15 12:15:07-05	0.84
2016-06-15 12:30:02-05	0.84
2016-06-15 12:45:12-05	0.85
2016-06-15 13:00:07-05	0.85
2016-06-15 13:15:02-05	0.86
2016-06-15 13:30:12-05	0.84
2016-06-15 13:45:06-05	0.84
2016-06-15 14:00:02-05	0.83
2016-06-15 14:15:12-05	0.81
2016-06-15 14:30:07-05	0.84
2016-06-15 14:45:02-05	0.82
2016-06-15 15:00:11-05	0.83
2016-06-15 15:15:06-05	0.81
2016-06-15 15:30:01-05	0.83
2016-06-15 15:45:11-05	0.82
2016-06-15 16:00:05-05	0.8
2016-06-15 16:15:15-05	0.8
2016-06-15 16:30:10-05	0.79
2016-06-15 16:45:05-05	0.77
2016-06-15 17:00:01-05	0.77
2016-06-15 17:15:13-05	0.78
2016-06-15 17:30:07-05	0.77
2016-06-15 17:45:02-05	0.78
2016-06-15 18:00:13-05	0.77
2016-06-15 18:15:07-05	0.78
2016-06-15 18:30:02-05	0.78
2016-06-15 18:45:12-05	0.79
2016-06-15 19:00:07-05	0.8
2016-06-15 19:15:02-05	0.78
2016-06-15 19:30:12-05	0.8
2016-06-15 19:45:06-05	0.79
2016-06-15 20:00:06-05	0.75
2016-06-15 20:15:00-05	0.73
2016-06-15 20:30:10-05	0.73
2016-06-15 20:45:06-05	0.73
2016-06-15 21:00:00-05	0.73
2016-06-15 21:15:10-05	0.73
2016-06-15 21:30:05-05	0.74
2016-06-15 21:45:15-05	0.76
2016-06-15 22:00:09-05	0.77
2016-06-15 22:15:04-05	0.75
2016-06-15 22:30:14-05	0.75
2016-06-15 22:45:08-05	0.77
2016-06-15 23:00:03-05	0.79
2016-06-15 23:15:13-05	0.77
2016-06-15 23:30:09-05	0.77
2016-06-15 23:45:03-05	0.76
2016-06-16 00:00:08-05	0.76
2016-06-16 00:15:03-05	0.76
2016-06-16 00:30:12-05	0.76
2016-06-16 00:45:07-05	0.77
2016-06-16 01:00:02-05	0.77
2016-06-16 01:15:12-05	0.77
2016-06-16 01:30:06-05	0.77
2016-06-16 01:45:01-05	0.76
2016-06-16 02:00:11-05	0.76
2016-06-16 02:15:06-05	0.76
2016-06-16 02:30:00-05	0.76
2016-06-16 02:45:10-05	0.75
2016-06-16 03:00:04-05	0.75
2016-06-16 03:15:14-05	0.75
2016-06-16 03:30:09-05	0.75
2016-06-16 03:45:03-05	0.75
2016-06-16 04:00:13-05	0.75
2016-06-16 04:15:08-05	0.76
2016-06-16 04:30:02-05	0.76
2016-06-16 04:45:12-05	0.75
2016-06-16 05:00:12-05	0.77
2016-06-16 05:15:06-05	0.77
2016-06-16 05:30:01-05	0.77
2016-06-16 05:45:12-05	0.76
2016-06-16 06:00:06-05	0.76
2016-06-16 06:15:01-05	0.76
2016-06-16 06:30:11-05	0.77
2016-06-16 06:45:05-05	0.77
2016-06-16 07:00:05-05	0.78
2016-06-16 07:15:15-05	0.79
2016-06-16 07:30:10-05	0.79
2016-06-16 07:45:07-05	0.79
2016-06-16 08:00:01-05	0.8
2016-06-16 08:15:11-05	0.8
2016-06-16 08:30:07-05	0.8
2016-06-16 08:45:02-05	0.82
2016-06-16 09:00:11-05	0.81
2016-06-16 09:15:07-05	0.79
2016-06-16 09:30:02-05	0.77
2016-06-16 09:45:12-05	0.78
2016-06-16 10:00:11-05	0.79
2016-06-16 10:15:06-05	0.79
2016-06-16 10:30:02-05	0.8
2016-06-16 10:45:12-05	0.78
2016-06-16 11:00:07-05	0.78
2016-06-16 11:15:01-05	0.78
2016-06-16 11:30:11-05	0.79
2016-06-16 11:45:06-05	0.8
2016-06-16 12:00:01-05	0.79
2016-06-16 12:15:10-05	0.78
2016-06-16 12:30:05-05	0.78
2016-06-16 12:45:01-05	0.79
2016-06-16 13:00:11-05	0.78
2016-06-16 13:15:07-05	0.79
2016-06-16 13:30:02-05	0.78
2016-06-16 13:45:13-05	0.76
2016-06-16 14:00:08-05	0.77
2016-06-16 14:15:04-05	0.77
2016-06-16 14:30:14-05	0.77
2016-06-16 14:45:14-05	0.77
2016-06-16 15:00:09-05	0.76
2016-06-16 15:15:04-05	0.76
2016-06-16 15:30:13-05	0.75
2016-06-16 15:45:08-05	0.75
2016-06-16 16:00:04-05	0.75
2016-06-16 16:15:00-05	0.74
2016-06-16 16:30:10-05	0.74
2016-06-16 16:45:05-05	0.72
2016-06-16 17:00:14-05	0.73
2016-06-16 17:15:09-05	0.72
2016-06-16 17:30:06-05	0.71
2016-06-16 17:45:01-05	0.71
2016-06-16 18:00:11-05	0.72
2016-06-16 18:15:06-05	0.72
2016-06-16 18:30:01-05	0.73
2016-06-16 18:45:11-05	0.73
2016-06-16 19:00:07-05	0.75
2016-06-16 19:15:02-05	0.74
2016-06-16 19:30:09-05	0.74
2016-06-16 19:45:01-05	0.71
2016-06-16 20:00:11-05	0.72
2016-06-16 20:15:05-05	0.72
2016-06-16 20:30:00-05	0.74
2016-06-16 20:45:10-05	0.73
2016-06-16 21:00:05-05	0.71
2016-06-16 21:15:15-05	0.7
2016-06-16 21:30:09-05	0.71
2016-06-16 21:45:04-05	0.71
2016-06-16 22:00:00-05	0.74
2016-06-16 22:15:11-05	0.74
2016-06-16 22:30:05-05	0.75
2016-06-16 22:45:00-05	0.74
2016-06-16 23:00:10-05	0.75
2016-06-16 23:15:05-05	0.75
2016-06-16 23:30:14-05	0.76
2016-06-16 23:45:09-05	0.75
2016-06-17 00:00:03-05	0.74
2016-06-17 00:15:14-05	0.75
2016-06-17 00:30:08-05	0.74
2016-06-17 00:45:02-05	0.74
2016-06-17 01:00:13-05	0.75
2016-06-17 01:15:08-05	0.75
2016-06-17 01:30:03-05	0.74
2016-06-17 01:45:14-05	0.75
2016-06-17 02:00:05-05	0.75
2016-06-17 02:15:01-05	0.75
2016-06-17 02:30:11-05	0.75
2016-06-17 02:45:06-05	0.75
2016-06-17 03:00:03-05	0.75
2016-06-17 03:15:14-05	0.75
2016-06-17 03:30:08-05	0.75
2016-06-17 03:45:04-05	0.76
2016-06-17 04:00:00-05	0.75
2016-06-17 04:15:11-05	0.76
2016-06-17 04:30:06-05	0.76
2016-06-17 04:45:01-05	0.76
2016-06-17 05:00:12-05	0.76
2016-06-17 05:15:06-05	0.75
2016-06-17 05:30:01-05	0.76
2016-06-17 05:45:11-05	0.76
2016-06-17 06:00:06-05	0.75
2016-06-17 06:15:01-05	0.76
2016-06-17 06:30:12-05	0.76
2016-06-17 06:45:07-05	0.77
2016-06-17 07:00:01-05	0.77
2016-06-17 07:15:11-05	0.78
2016-06-17 07:30:06-05	0.78
2016-06-17 07:45:03-05	0.78
2016-06-17 08:00:13-05	0.77
2016-06-17 08:15:08-05	0.78
2016-06-17 08:30:03-05	0.78
2016-06-17 08:45:14-05	0.77
